Gene	Chr_Pos	UniProtID	Descriptor	EC
ERVK-18	1q23.3	Q9QC07	group K member 18 Pol protein (HERV-K(C1a) Pol protein) (HERV-K110 Pol protein) (HERV-K18 Pol protein) (HERV-K_1q23.3 provirus ancestral Pol protein) [Includes: Reverse transcriptase Ribonuclease H (RNase H)]	EC 3.1.26.4
ERVK-7	1q22	P63131	retrovirus group K member 7 Pro protein (HERV-K(III) Pro protein) (HERV-K102 Pro protein) (HERV-K_1q22 provirus ancestral Pro protein) (Protease) (Proteinase) (PR)	EC 3.4.23.50
ERVK-7	1q22	P63135	retrovirus group K member 7 Pol protein (HERV-K(III) Pol protein) (HERV-K102 Pol protein) (HERV-K_1q22 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT); Ribonuclease H (RNase H); Integrase (IN)]	EC 3.1.26.4
ETNK2	1q31.1	Q9NVF9	kinase 2 (EKI 2) (Ethanolamine kinase-like protein) [EKI2] [HMFT1716]	EC 2.7.1.82
EXTL1	1p36.1	Q92935	Exostosin-like 1 (Exostosin-L) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostosis-like protein) [EXTL]	EC 2.4.1.224
EXTL2	1p21	Q9UBQ6	Exostosin-like 2 (Alpha-1,4-N-acetylhexosaminyltransferase EXTL2) (Alpha-GalNAcT EXTL2) (EXT-related protein 2) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) [Contains: Processed exostosin-like 2] [EXTR2]	EC 2.4.1.223
EYA3	1p36	Q99504	phosphatase EYA3 (Eyes absent homolog 3)	EC 3.1.3.48
FAAH	1p34-p35	O00519	Fatty-acid amide hydrolase 1 (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (Oleamide hydrolase 1) [FAAH1]	EC 3.5.1.99
FDPS	1p36.13-q24.1	P14324	pyrophosphate synthase (FPP synthase) (FPS) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (Farnesyl diphosphate synthase) (Geranyltranstransferase) [FPS] [KIAA1293]	EC 2.5.1.1
FGGY	1p32.1	Q96C11	carbohydrate kinase domain-containing protein (D-ribulokinase FGGY)	EC 2.7.1.47
FGR	1p36.1-p36.2	P09769	kinase Fgr (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr) [SRC2]	EC 2.7.10.2
FH	1q42.1	P07954	hydratase, mitochondrial precursor (Fumarase) (HsFH)	EC 4.2.1.2
FLAD1	1q22	Q8NFF5	synthase precursor (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region] [PP591]	EC 2.7.7.2
FMO1	1q23-q25	Q01740	monooxygenase 1 (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Fetal hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase)	EC 1.14.13.8
FMO3	1q23-q25	P31513	monooxygenase 3 (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 3) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase)	EC 1.14.13.8
FMO4	1q23-q25	P31512	monooxygenase [N-oxide-forming] 4 (Dimethylaniline oxidase 4) (Hepatic flavin-containing monooxygenase 4) (FMO 4) [FMO2]	EC 1.14.13.8
FMO5	1q21.1	P49326	monooxygenase 5 (FMO 5) (Baeyer-Villiger monooxygenase 1) (hBVMO1) (Dimethylaniline monooxygenase [N-oxide-forming] 5) (Dimethylaniline oxidase 5) (NADPH oxidase)	EC 1.6.3.1
FMO6P	1q23-q25	O60774	monooxygenase [N-oxide-forming] 6 (Dimethylaniline oxidase 6) (Flavin-containing monooxygenase 6) (FMO 6) [FMO6]	EC 1.14.13.8
FPGT	1p31.1	O14772	guanylyltransferase (GDP-L-fucose diphosphorylase) (GDP-L-fucose pyrophosphorylase) [GFPP]	EC 2.7.7.30
FUCA1	1p34	P04066	alpha-L-fucosidase precursor (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1) [Nbla10230]	EC 3.2.1.51
GALE	1p35.1-p36.12	Q14376	4-epimerase (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (UDP-galactose 4-epimerase)	EC 5.1.3.7
GALNT2	1q41-q42	Q10471	Polypeptide N-acetylgalactosaminyltransferase 2 (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Contains: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]	EC 2.4.1.41
GBA1	1q21	P04062	acid glucosylceramidase precursor (Lysosomal acid GCase) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (Cholesteryl-beta-glucosidase) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (Lysosomal glycosylceramidase) [GBA] [GC] [GLUC]	EC 3.2.1.46
GGPS1	1q43	O95749	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase)	EC 2.5.1.10
GLUL	1q31	P15104	synthetase (GS) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) [GLNS]	EC 2.3.1.225
GNPAT	1q42.11-q42.3	O15228	Dihydroxyacetone phosphate acyltransferase (DAP-AT) (DAPAT) (DHAP-AT) (Acyl-CoA:dihydroxyacetonephosphateacyltransferase) (Glycerone-phosphate O-acyltransferase) [DAPAT] [DHAPAT]	EC 2.3.1.42
GPX7	1p32	Q96SL4	peroxidase 7 precursor (GPx-7) (GSHPx-7) (CL683) [GPX6] [UNQ469/PRO828]	EC 1.11.1.9
GSTM1	1p13.3	P09488	Glutathione S-transferase Mu 1 (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4) [GST1]	EC 2.5.1.18
GSTM2	1p13.3	P28161	Glutathione S-transferase Mu 2 (GST class-mu 2) (GSTM2-2) [GST4]	EC 2.5.1.18
GSTM3	1p13.3	P21266	Glutathione S-transferase Mu 3 (GST class-mu 3) (GSTM3-3) (hGSTM3-3) [GST5]	EC 2.5.1.18
GSTM4	1p13.3	Q03013	Glutathione S-transferase Mu 4 (GST class-mu 4) (GST-Mu2) (GSTM4-4) (Leukotriene C4 synthase GSTM4)	EC 4.4.1.20
GSTM5	1p13.3	P46439	Glutathione S-transferase Mu 5 (GST class-mu 5) (GSTM5-5)	EC 2.5.1.18
GTF2B	1p21-p22	Q00403	initiation factor IIB (General transcription factor TFIIB) (S300-II) [TF2B] [TFIIB]	EC 2.3.1.48
GUK1	1q32-q41	Q16774	kinase (GMP kinase) (Guanylate kinase 1) [GMK] [GMPK]	EC 2.7.4.8
H6PD	1p36	O95479	endoplasmic bifunctional protein precursor [Includes: Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase) (GDH) (Glucose-6-phosphate dehydrogenase) 6-phosphogluconolactonase (6PGL)] [GDH]	EC 3.1.1.31
HAO2	1p13.1	Q9NYQ3	2-Hydroxyacid oxidase 2 (HAOX2) ((S)-2-hydroxy-acid oxidase, peroxisomal) (Cell growth-inhibiting gene 16 protein) (Long chain alpha-hydroxy acid oxidase) (Long-chain L-2-hydroxy acid oxidase) [HAOX2] [GIG16]	EC 1.1.3.15
HDAC1	1p34.1	Q13547	Histone deacetylase 1 (HD1) (Protein deacetylase HDAC1) (Protein deacylase HDAC1) [RPD3L1]	EC 3.5.1.98
HECTD3	1p34.1	Q5T447	E3 ubiquitin-protein ligase HECTD3 (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)	EC 2.3.2.26
HENMT1	1p13.3	Q5T8I9	Small RNA 2'-O-methyltransferase (HEN1 methyltransferase homolog 1) [C1orf59]	EC 2.1.1.386
HFM1	1p22.2	A2PYH4	ATP-dependent DNA helicase HFM1 (SEC63 domain-containing protein 1) [SEC3D1]	EC 3.6.4.12
HIPK1	1p13.2	Q86Z02	Homeodomain-interacting protein kinase 1 (Nuclear body-associated kinase 2) [KIAA0630] [MYAK] [NBAK2]	EC 2.7.11.1
HMGCL	1p35-p36.1	P35914	Hydroxymethylglutaryl-CoA lyase, mitochondrial precursor (HL) (HMG-CoA lyase) (3-hydroxy-3-methylglutarate-CoA lyase)	EC 4.1.3.4
HMGCS2	1p12-p13	P54868	Hydroxymethylglutaryl-CoA synthase, mitochondrial precursor (HMG-CoA synthase) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	EC 2.3.3.10
HPDL	1p34.1	Q96IR7	dioxygenase-like protein (HPD-like protein) (HPDL) (Glyoxalase domain-containing protein 1) [GLOXD1]	EC 1.13.11.46
HSD11B1	1q32.2	P28845	dehydrogenase 1 (11-DH) (11-beta-HSD1) (7-oxosteroid reductase) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (Short chain dehydrogenase/reductase family 26C member 1) [HSD11] [HSD11L] [SDR26C1]	EC 1.1.1.201
HSD17B7	1q23	P56937	reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (Dihydrotestosterone oxidoreductase) (Estradiol 17-beta-dehydrogenase 7) (Short chain dehydrogenase/reductase family 37C member 1) [17HSD7] [SDR37C1] [UNQ2563/PRO6243]	EC 1.1.1.62
HSD3B1	1p13.1	P14060	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (3-beta-hydroxy-5-ene steroid dehydrogenase) (3-beta-hydroxy-Delta(5)-steroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (Delta-5-3-ketosteroid isomerase) (Dihydrotestosterone oxidoreductase) (Steroid Delta-isomerase) (Trophoblast antigen FDO161G) [3BH] [HSDB3A]	EC 5.3.3.1
HSD3B2	1p13.1	P26439	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II) (3-beta-HSD II) (3-beta-HSD adrenal and gonadal type) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (Delta-5-3-ketosteroid isomerase)] [HSDB3B]	EC 5.3.3.1
HYI	1p34.2	Q5T013	hydroxypyruvate isomerase (Endothelial cell apoptosis protein E-CE1) [HT036] [SB156]	EC 5.3.1.22
IARS2	1q41	Q9NSE4	ligase, mitochondrial precursor (Isoleucyl-tRNA synthetase) (IleRS)	EC 6.1.1.5
ICMT	1p36.21	O60725	O-methyltransferase (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT) [PCCMT]	EC 2.1.1.100
IKBKE	1q31.3	Q14164	of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (Inducible I kappa-B kinase) (IKK-i) [IKKE] [IKKI] [KIAA0151]	EC 2.7.11.10
INPP5B	1p34	P32019	II inositol 1,4,5-trisphosphate 5-phosphatase precursor (75 kDa inositol polyphosphate-5-phosphatase) (Phosphoinositide 5-phosphatase) (5PTase) [OCRL2]	EC 3.1.3.36
INSRR	1q21-q23	P14616	Insulin receptor-related protein precursor (IRR) (IR-related receptor) [Contains: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain] [IRR]	EC 2.7.10.1
ITPKB	1q42.13	P27987	Inositol-trisphosphate 3-kinase B (Inositol 1,4,5-trisphosphate 3-kinase B) (IP3 3-kinase B) (IP3K B) (InsP 3-kinase B)	EC 2.7.1.127
JAK1	1p21-p22	P23458	kinase JAK1 (Janus kinase 1) (JAK-1) [JAK1A] [JAK1B]	EC 2.7.10.2
KDM1A	1p36.12	O60341	Lysine-specific histone demethylase 1A (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A) [AOF2] [KDM1] [KIAA0601] [LSD1]	EC 1.14.99.66
KDM4A	1p34.1	O75164	Lysine-specific demethylase 4A (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A) [JHDM3A] [JMJD2] [JMJD2A] [KIAA0677]	EC 1.14.11.69
KDM5B	1q32.1	Q9UGL1	Lysine-specific demethylase 5B (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B) [JARID1B] [PLU1] [RBBP2H1]	EC 1.14.11.67
KIF1B	1p36.2	O60333	Kinesin-like protein KIF1B (Klp) [KIAA0591] [KIAA1448]	EC 5.6.1.3
KMO	1q42-q44	O15229	3-monooxygenase (Kynurenine 3-hydroxylase)	EC 1.14.13.9
KYAT3	1p22.2	Q6YP21	transaminase 3 (Cysteine-S-conjugate beta-lyase 2) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (Kynurenine--oxoglutarate transaminase III) [CCBL2] [KAT3]	EC 2.6.1.63
LBR	1q42.1	Q14739	reductase LBR (Delta-14-SR) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)	EC 1.3.1.70
LCK	1p34.3	P06239	kinase Lck (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	EC 2.7.10.2
LPGAT1	1p36.13-q42.3	Q92604	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (2-acylglycerophosphocholine O-acyltransferase) (Acyl-CoA:monoacylglycerol acyltransferase LPGAT1) (Lysophospholipid acyltransferase 7) (LPLAT7) (Stearoyl-CoA:1-lyso-2-acyl-PE acyltransferase) [FAM34A] [KIAA0205]	EC 2.3.1.22
LYPLA2	1p36.11	O95372	2 (APT-2) (Lysophospholipase II) (LPL-II) (LysoPLA II) (Palmitoyl-protein hydrolase) [APT2]	EC 3.1.2.22
LYPLAL1	1q41	Q5VWZ2	Lysophospholipase-like protein 1	EC 3.1.2.22
MAN1A2	1p13	O60476	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (Mannosidase alpha class 1A member 2) (Processing alpha-1,2-mannosidase IB) (Alpha-1,2-mannosidase IB) [MAN1B]	EC 3.2.1.113
MAN1C1	1p35	Q9NR34	IC (HMIC) (Mannosidase alpha class 1C member 1) (Processing alpha-1,2-mannosidase IC) (Alpha-1,2-mannosidase IC) [MAN1A3] [MAN1C]	EC 3.2.1.113
MAP3K21	1q42	Q5TCX8	Mitogen-activated protein kinase kinase kinase 21 (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4) [KIAA1804] [MLK4]	EC 2.7.11.25
MAP3K6	1p35.2	O95382	protein kinase kinase kinase 6 (Apoptosis signal-regulating kinase 2) [ASK2] [MAPKKK6] [MEKK6]	EC 2.7.11.25
MAPKAPK2	1q32	P49137	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2)	EC 2.7.11.1
MARK1	1q41	Q9P0L2	Serine/threonine-protein kinase MARK1 (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c) [KIAA1477] [MARK]	EC 2.7.11.26
MASP2	1p36.2-p36.3	O00187	Mannan-binding lectin serine protease 2 precursor (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Contains: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	EC 3.4.21.104
MAST2	1p34.1	Q6P0Q8	Microtubule-associated serine/threonine-protein kinase 2 [KIAA0807] [MAST205]	EC 2.7.11.1
MECR	1p22.3-pter	Q9BV79	reductase, mitochondrial precursor (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (HsNrbf-1) (NRBF-1) [NBRF1] [CGI-63]	EC 1.3.1.104
METTL18	1q24.2	O95568	Histidine protein methyltransferase 1 homolog (Arsenic-transactivated protein 2) (AsTP2) (Methyltransferase-like protein 18) [ASTP2] [C1orf156]	EC 2.1.1.85
MGST3	1q23	O14880	Glutathione S-transferase 3, mitochondrial (GST-3) (Glutathione peroxidase MGST3) (LTC4 synthase MGST3)	EC 4.4.1.20
MIB2	1p36.33	Q96AX9	ubiquitin-protein ligase MIB2 (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1) [SKD] [ZZANK1]	EC 2.3.2.27
MINDY1	1q21.2	Q8N5J2	Ubiquitin carboxyl-terminal hydrolase MINDY-1 (Deubiquitinating enzyme MINDY-1) (Protein FAM63A) [FAM63A] [KIAA1390]	EC 3.4.19.12
MKNK1	1p34.1	Q9BUB5	MAP kinase-interacting serine/threonine-protein kinase 1 (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1) [MNK1]	EC 2.7.11.1
MMACHC	1p34.1	Q9Y4U1	reductase / alkylcobalamin dealkylase (Alkylcobalamin:glutathione S-alkyltransferase) (CblC) (Cyanocobalamin reductase (cyanide-eliminating)) (Methylmalonic aciduria and homocystinuria type C protein) (MMACHC)	EC 1.16.1.6
MMEL1	1p36	Q495T6	Membrane metallo-endopeptidase-like 1 (Membrane metallo-endopeptidase-like 2) (NEP2(m)) (Neprilysin II) (NEPII) (Neprilysin-2) (NEP2) (NL2) [Contains: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted) (NEP2(s))] [MELL1] [MMEL2] [NEP2]	EC 3.4.24.11
MOV10	1p13.1	Q9HCE1	Helicase MOV-10 (Armitage homolog) (Moloney leukemia virus 10 protein) [KIAA1631]	EC 3.6.4.13
MTHFR	1p36.3	P42898	reductase (NADPH)	EC 1.5.1.53
MTOR	1p36.2-p36.3	P42345	kinase mTOR (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) [FRAP] [FRAP1] [FRAP2] [RAFT1] [RAPT1]	EC 2.7.10.2
MTR	1q43	Q99707	synthase (MS) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Cobalamin-dependent methionine synthase) (Vitamin-B12 dependent methionine synthase)	EC 2.1.1.13
MUL1	1p36.12	Q969V5	ubiquitin ligase activator of NFKB 1 (E3 SUMO-protein ligase MUL1) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase) (Mitochondrial-anchored protein ligase) (Protein Hades) (Putative NF-kappa-B-activating protein 266) (RING finger protein 218) (RING-type E3 ubiquitin transferase NFKB 1) [C1orf166] [GIDE] [MAPL] [MULAN] [RNF218]	EC 2.3.2.27
MUTYH	1p32.1-p34.3	Q9UIF7	Adenine DNA glycosylase (MutY homolog) (hMYH) [MYH]	EC 3.2.2.31
NADK	1p36.21-p36.33	O95544	kinase (Poly(P)/ATP NAD kinase)	EC 2.7.1.23
NAXE	1q21	Q8NCW5	epimerase precursor (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase) (NAXE) (YjeF N-terminal domain-containing protein 1) (YjeF_N1) [AIBP] [APOA1BP] [YJEFN1]	EC 5.1.99.6
NDUFS2	1q23	O75306	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial precursor (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	EC 7.1.1.2
NEK2	1q32.2-q41	P51955	kinase Nek2 (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1) [NEK2A] [NLK1]	EC 2.7.11.1
NEK7	1q31.3	Q8TDX7	kinase Nek7 (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	EC 2.7.11.34
NIT1	1q23.3	Q86X76	glutathione amidase precursor (dGSH amidase) (Nitrilase homolog 1)	EC 3.5.1.128
NMNAT1	1p32-p35	Q9HAN9	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (NMN/NaMN adenylyltransferase 1) (Nicotinamide-nucleotide adenylyltransferase 1) (NMN adenylyltransferase 1) (Nicotinate-nucleotide adenylyltransferase 1) (NaMN adenylyltransferase 1) [NMNAT]	EC 2.7.7.18
NMNAT2	1q25	Q9BZQ4	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (Nicotinamide mononucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2) [C1orf15] [KIAA0479]	EC 2.7.7.18
NOL9	1p36.31	Q5SY16	5'-hydroxyl-kinase NOL9 (Nucleolar protein 9)	EC 2.7.1.78
NPL	1q25	Q9BXD5	lyase (NALase) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase) [C1orf13]	EC 4.1.3.3
NPR1	1q21-q22	P16066	Atrial natriuretic peptide receptor 1 precursor (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A) [ANPRA]	EC 4.6.1.2
NRAS	1p13.2	P01111	NRas precursor (Transforming protein N-Ras) [HRAS1]	EC 3.6.5.2
NRDC	1p32.1-p32.2	O43847	precursor (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase) [NRD1]	EC 3.4.24.61
NT5C1A	1p34.3	Q9BXI3	Cytosolic 5'-nucleotidase 1A (cN1A) (5'-deoxynucleotidase) (Cytosolic 5'-nucleotidase IA) (cN-I) (cN-IA)	EC 3.1.3.99
NTMT2	1q22	Q5VVY1	N-methyltransferase 2 (Alpha N-terminal protein methyltransferase 1B) (Methyltransferase-like protein 11B) (X-Pro-Lys N-terminal protein methyltransferase 1B) (NTM1B) [C1orf184] [METTL11B] [NRMT2]	EC 2.1.1.299
NTPCR	1q42.2	Q9BSD7	(NTPase) (Nucleoside triphosphate phosphohydrolase) [C1orf57]	EC 3.6.1.15
NTRK1	1q21-q22	P04629	High affinity nerve growth factor receptor precursor (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA) [MTC] [TRK] [TRKA]	EC 2.7.10.1
NUAK2	1q32.1	Q9H093	NUAK family SNF1-like kinase 2 (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK) [OMPHK2] [SNARK]	EC 2.7.11.1
NUDT4B	1q21.2	A0A024RBG1 NUD4B_HUMAN	phosphohydrolase NUDT4B (DIPP-2B) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B)	EC 3.6.1.52
OBSCN	1q42.13	Q5VST9	Obscurin (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK) [KIAA1556] [KIAA1639]	EC 2.7.11.1
OTUD3	1p36.13	Q5T2D3	OTU domain-containing protein 3 [KIAA0459]	EC 3.4.19.12
OTUD7B	1q21.3	Q6GQQ9	OTU domain-containing protein 7B (Cellular zinc finger anti-NF-kappa-B protein) (Cezanne) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne) [ZA20D1]	EC 3.4.19.12
OXCT2	1p34	Q9BYC2	Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial precursor (3-oxoacid CoA-transferase 2A) (Testis-specific succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-t) [FKSG25]	EC 2.8.3.5
P3H1	1p34.1	Q32P28	3-hydroxylase 1 precursor (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1) [GROS1] [LEPRE1] [PSEC0109]	EC 1.14.11.7
PADI1	1p36.13	Q9ULC6	Protein-arginine deiminase type-1 (Peptidylarginine deiminase I) (Protein-arginine deiminase type I) [PAD1] [PDI1]	EC 3.5.3.15
PADI2	1p35.2	Q9Y2J8	Protein-arginine deiminase type-2 (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II) [KIAA0994] [PAD2] [PDI2]	EC 3.5.3.15
PADI3	1p36.13	Q9ULW8	Protein-arginine deiminase type-3 (Peptidylarginine deiminase III) (Protein-arginine deiminase type III) [PAD3] [PDI3]	EC 3.5.3.15
PADI4	1p36.13	Q9UM07	Protein-arginine deiminase type-4 (HL-60 PAD) (Peptidylarginine deiminase IV) (Protein-arginine deiminase type IV) [PAD4] [PADI5] [PDI5]	EC 3.5.3.15
PAFAH2	1p34.3	Q99487	Platelet-activating factor acetylhydrolase 2, cytoplasmic (PAF:lysophospholipid transacetylase) (PAF:sphingosine transacetylase) (Platelet-activating factor acetyltransferase PAFAH2) (Serine-dependent phospholipase A2) (SD-PLA2) (hSD-PLA2)	EC 2.3.1.149
PARK7	1p36.23	Q99497	Parkinson disease protein 7 precursor (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1)	EC 3.5.1.124
PARP1	1q41-q42	P09874	Poly [ADP-ribose] polymerase 1 (PARP-1) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) [Contains: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)] [ADPRT] [PPOL]	EC 2.4.2.30
PARS2	1p32.2	Q7L3T8	proline--tRNA ligase, mitochondrial precursor (Prolyl-tRNA synthetase) (ProRS) (Prolyl-tRNA synthetase 2, mitochondrial)	EC 6.1.1.15
